time(h),formaldehyde(ug/m³)
0.0,31.8899999999999
0.0333333333333333,310.21
0.0666666666666667,490.7
0.1,582.8
0.133333333333333,885.1
0.166666666666667,894.8
0.2,945.0
0.233333333333333,1074.6
0.266666666666667,1146.4
0.3,1158.5
0.333333333333333,1245.1
0.366666666666667,1277.3
0.4,1357.9
0.433333333333333,1492.0
0.466666666666667,1380.5
0.5,1415.4
0.533333333333333,1493.4
0.566666666666667,1556.6
0.6,1542.5
0.633333333333333,1544.5
0.666666666666667,1644.7
0.7,1577.0
0.733333333333333,1513.8
0.766666666666667,1584.7
0.8,1552.0
0.833333333333333,1548.0
0.866666666666667,1609.7
0.9,1682.1
0.933333333333333,1660.3
0.966666666666667,1593.6
1.0,1641.2
1.03333333333333,1533.5
1.06666666666667,1574.4
1.1,1672.7
1.13333333333333,1592.8
1.16666666666667,1608.7
1.2,1433.1
1.23333333333333,1546.9
1.26666666666667,1611.4
1.3,1598.0
1.33333333333333,1685.5
1.36666666666667,1645.5
1.4,1577.7
1.43333333333333,1598.6
1.46666666666667,1530.6
1.5,1578.3
1.53333333333333,1567.1
1.56666666666667,1584.5
1.6,1602.1
1.63333333333333,1545.7
1.66666666666667,1540.0
1.7,1521.5
1.73333333333333,1641.1
1.76666666666667,1498.8
1.8,1573.3
1.83333333333333,1506.6
1.86666666666667,1517.5
1.9,1531.0
1.93333333333333,1573.4
1.96666666666667,1504.0
2.0,1551.8
2.03333333333333,1553.1
2.06666666666667,1624.1
2.1,1517.7
2.13333333333333,1463.2
2.16666666666667,1544.8
2.2,1515.4
2.23333333333333,1547.7
2.26666666666667,1479.0
2.3,1554.6
2.33333333333333,1479.0
2.36666666666667,1523.6
2.4,1517.9
2.43333333333333,1541.3
2.46666666666667,1549.8
2.5,1474.1
2.53333333333333,1464.1
2.56666666666667,1560.2
2.6,1553.2
2.63333333333333,1573.1
2.66666666666667,1447.5
2.7,1409.4
2.73333333333333,1538.2
2.76666666666667,1473.1
2.8,1405.3
2.83333333333333,1420.4
2.86666666666667,1452.4
2.9,1457.4
2.93333333333333,1433.9
2.96666666666667,1521.6
3.0,1397.6
3.03333333333333,1388.8
3.06666666666667,1428.2
3.1,1456.4
3.13333333333333,1438.2
3.16666666666667,1391.2
3.2,1407.5
3.23333333333333,1468.8
3.26666666666667,1470.0
3.3,1382.3
3.33333333333333,1447.7
3.36666666666667,1431.3
3.4,1410.5
3.43333333333333,1452.2
3.46666666666667,1465.3
3.5,1417.3
3.53333333333333,1362.8
3.56666666666667,1401.7
3.6,1381.8
3.63333333333333,1360.8
3.66666666666667,1400.9
3.7,1357.5
3.73333333333333,1278.5
3.76666666666667,1367.7
3.8,1381.7
3.83333333333333,1318.7
3.86666666666667,1406.0
3.9,1369.1
3.93333333333333,1327.4
3.96666666666667,1431.9
4.0,1321.7
4.03333333333333,1375.0
4.06666666666667,1317.1
4.1,1370.5
4.13333333333333,1300.3
4.16666666666667,1206.7
4.2,1319.6
4.23333333333333,1426.5
4.26666666666667,1366.8
4.3,1322.1
4.33333333333333,1304.8
4.36666666666667,1282.6
4.4,1336.3
4.43333333333333,1376.3
4.46666666666667,1315.3
4.5,1306.7
4.53333333333333,1380.5
4.56666666666667,1286.1
4.6,1344.5
4.63333333333333,1426.9
4.66666666666667,1259.2
4.7,1275.6
4.73333333333333,1327.2
4.76666666666667,1258.9
4.8,1265.9
4.83333333333333,1280.1
4.86666666666667,1268.3
4.9,1289.6
4.93333333333333,1324.7
4.96666666666667,1249.1
5.0,1270.3
5.03333333333333,1281.7
5.06666666666667,1205.1
5.1,1256.4
5.13333333333333,1223.7
5.16666666666667,1362.6
5.2,1287.0
5.23333333333333,1210.1
5.26666666666667,1313.8
5.3,1297.3
5.33333333333333,1218.8
5.36666666666667,1200.4
5.4,1202.5
5.43333333333333,1211.4
5.46666666666667,1148.8
5.5,1190.3
5.53333333333333,1194.5
5.56666666666667,1135.9
5.6,1177.6
5.63333333333333,1232.1
5.66666666666667,1240.7
5.7,1295.9
5.73333333333333,1142.3
5.76666666666667,1252.0
5.8,1199.9
5.83333333333333,1147.3
5.86666666666667,1154.1
5.9,1240.2
5.93333333333333,1210.3
5.96666666666667,1202.0
6.0,1216.9
6.03333333333333,1159.3
6.06666666666667,1214.2
6.1,1244.5
6.13333333333333,1223.9
6.16666666666667,1192.1
6.2,1166.3
6.23333333333333,1200.8
6.26666666666667,1237.9
6.3,1158.2
6.33333333333333,1160.1
6.36666666666667,1179.4
6.4,1144.4
6.43333333333333,1187.0
6.46666666666667,1131.9
6.5,1191.2
6.53333333333333,1188.1
6.56666666666667,1126.9
6.6,1174.2
6.63333333333333,1153.1
6.66666666666667,1163.7
6.7,1121.9
6.73333333333333,1073.8
6.76666666666667,1125.0
6.8,1115.0
6.83333333333333,1117.9
6.86666666666667,1167.3
6.9,1125.5
6.93333333333333,1160.8
6.96666666666667,1096.2
7.0,1134.1
7.03333333333333,1115.0
7.06666666666667,1063.1
7.1,1153.7
7.13333333333333,1121.2
7.16666666666667,1112.7
7.2,1092.9
7.23333333333333,1093.6
7.26666666666667,1077.4
7.3,1159.5
7.33333333333333,1097.7
7.36666666666667,1122.5
7.4,1101.5
7.43333333333333,1137.6
7.46666666666667,1086.5
7.5,1141.1
7.53333333333333,1090.1
7.56666666666667,1148.1
7.6,1071.8
7.63333333333333,1044.4
7.66666666666667,1184.0
7.7,1063.6
7.73333333333333,1093.1
7.76666666666667,1031.0
7.8,1123.8
7.83333333333333,1086.5
7.86666666666667,1043.4
7.9,991.0
7.93333333333333,1036.0
7.96666666666667,1106.7
8.0,1039.9
8.03333333333333,975.4
8.06666666666667,1051.4
8.1,1034.4
8.13333333333333,1143.1
8.16666666666667,1015.2
8.2,1055.3
8.23333333333333,1017.5
8.26666666666667,1017.5
8.3,1024.9
8.33333333333333,1081.3
8.36666666666667,1074.4
8.4,977.6
8.43333333333333,1083.7
8.46666666666667,1033.5
8.5,1010.9
8.53333333333333,1055.3
8.56666666666667,1126.6
8.6,1009.2
8.63333333333333,1043.0
8.66666666666667,1103.2
8.7,956.2
8.73333333333333,1057.2
8.76666666666667,1113.1
8.8,1001.0
8.83333333333333,1050.7
8.86666666666667,1046.1
8.9,1023.1
8.93333333333333,1037.0
8.96666666666667,1001.6
9.0,1022.1
9.03333333333333,908.0
9.06666666666667,1050.4
9.1,1006.9
9.13333333333333,951.6
9.16666666666667,985.6
9.2,947.2
9.23333333333333,1009.0
9.26666666666667,914.1
9.3,1087.2
9.33333333333333,975.1
9.36666666666667,1092.6
9.4,1027.1
9.43333333333333,949.3
9.46666666666667,1052.8
9.5,950.0
9.53333333333333,989.0
9.56666666666667,988.7
9.6,978.2
9.63333333333333,941.0
9.66666666666667,1019.4
9.7,1019.1
9.73333333333333,1016.6
